author,statement,source,date,rating,url
,"As head football coach at Texas Tech University, “I recruited (Patrick Mahomes) ... I’ve got to be very good friends with him.”",Tommy Tuberville,,false,https://www.politifact.com/factchecks/2025/feb/09/tommy-tuberville/kansas-city-chiefs-quarterback-patrick-mahomes-sen/
,"At Guantánamo Bay, “we'll have the capacity to continue to do there what we've always done. We've always had a presence of illegal immigrants there that have been detained.”",Kristi Noem,,half-true,https://www.politifact.com/factchecks/2025/feb/09/kristi-noem/us-has-detained-migrants-at-guantanamo-bay-before/
,"CBS News and “60 Minutes” “replaced” former Vice President Kamala Harris’ interview answers “with completely different, and far better, answers, taken from another part of the interview.”",Donald Trump,,false,https://www.politifact.com/factchecks/2025/feb/07/donald-trump/trump-claimed-60-minutes-replaced-harris-interview/
,On support for U.S. Agency for International Development,Marco Rubio,,full-flop,https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/
Caleb McCullough,Florida’s in-state college tuition waiver for immigrants in the country illegally costs the state $41 million.,Randy Fine,December 30 2024,barely-true,https://www.politifact.com/factchecks/2025/feb/06/randy-fine/florida-sen-randy-fines-shaky-claim-that-immigrant/
Caleb McCullough,"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",Brian Mast,December 30 2024,false,https://www.politifact.com/factchecks/2025/feb/05/brian-mast/why-the-republican-claim-about-the-majority-of-usa/
Madison Czopek,"The National Human Trafficking Hotline “in the last four years decided that they would no longer report tips to law enforcement, that they would take a more victim-centered approach.”",Ashley Moody,December 18 2024,false,https://www.politifact.com/factchecks/2025/feb/04/ashley-moody/fact-check-florida-sen-ashley-moody-claims-traffic/
,We’re one of the very few nations that allowed birthright citizenship.”,Ron Johnson,,mostly-true,https://www.politifact.com/factchecks/2025/feb/04/ron-johnson/wis-sen-johnson-says-us-is-one-of-very-few-nations/
Jeff Cercone,“I changed the Obama policy (on hiring air traffic controllers) ... And then Biden came in and he changed it.”,Donald Trump,December 16 2024,false,https://www.politifact.com/factchecks/2025/jan/31/donald-trump/trump-faults-dei-hiring-in-plane-crash-and-falsely/
Sara Swann,"“As a Californian, we have given more to the recovery of other states than any other state in the union.”",Adam Schiff,December 13 2024,mostly-true,https://www.politifact.com/factchecks/2025/jan/31/adam-schiff/fact-checking-sen-adam-schiffs-claim-about-califor/
