Post ID,Content,Created At
114359540733058658,"Not a ""Maryland Man"" and Not Coming Back.",2025-04-18T14:55:09.331Z
114356070743609313,"""I think Giorgia Meloni is a great Prime Minister. I think she's doing a fantastic job in Italy... She's one of the real leaders of the world."" –President Donald J. Trump 🇺🇸🇮🇹",2025-04-18T00:12:41.495Z
114355598775241199,A powerful evening at the White House Easter Prayer Dinner. ✝️,2025-04-17T22:12:39.828Z
114354227161001649,President Donald J. Trump welcomes Italian Prime Minister Giorgia Meloni to the White House. 🇺🇸🇮🇹,2025-04-17T16:23:50.655Z
114353534045469485,"President Trump attends the WH Easter Prayer Service and Dinner during Holy Week.🙏“It will always be In God We Trust. We will never change that… With God’s help, we can overcome every challenge, triumph over every evil, and restore the spirit of faith in the United States.”",2025-04-17T13:27:34.554Z
114350956790191006,"""It feels like a part of you is being ripped out. You can't even describe the pain... Why should we allow people like this—violent criminals—that have no conscience at all to murder our mothers, our sisters, our daughters. I don't understand."" –Patty Morin cc: @chrisvanhollen",2025-04-17T02:32:08.757Z
114350084883367331,"While Sen. Chris Van Hollen tried to coddle an MS-13 alien in El Salvador, Angel Mom Patty Morin stood in the Oval Office with President @realDonaldTrump—fighting for her daughter, raped and murdered by an MS-13 alien from El Salvador.",2025-04-16T22:50:24.516Z
114349884142144357,"MUST WATCH: ""To have a senator from Maryland who didn’t even acknowledge, or barely acknowledge my daughter, and the brutal death that she endured... fly to El Salvador to bring back someone that's not even an American citizen … I don't understand this."" - Angel Mom Patty Morin",2025-04-16T21:59:21.447Z
114349290473235726,"Rachel Morin, an innocent mom of five, was brutally murdered by an illegal alien in Maryland. Where were Democrats then?Patty Morin, Rachel’s mom, SLAMS their silence while Sen. Chris Van Hollen travels to El Salvador to defend an illegal immigrant MS-13 gang member. ⬇️",2025-04-16T19:28:22.778Z
114348656284501706,"🇺🇸A prosperous Wednesday at the White House—President @realDonaldTrump delivering results for America. Abbott announced major U.S. manufacturing expansion, and Honda is moving production of its popular Civic from Japan to the U.S.",2025-04-16T16:47:05.826Z
114348257789006047,🚨 President Trump announced plans to lower prescription drug prices and increase transparency in the market!✅ Delivers lower drug prices for Medicare and the seniors who rely on it.✅ Provides discounts to low-income patients for life-saving medications.✅ Increases the availability of generics and biosimilars.,2025-04-16T15:05:45.267Z
114344664423089340,"""It's a great honor to officially present the Commander-in-Chief's Trophy to the 2024 Navy Midshipmen football team. With the win, this trophy, you secure your spot as one of the greatest teams in Navy football history."" –President @realDonaldTrump 🇺🇸",2025-04-15T23:51:54.856Z
114344299466449033,"President Trump presents the Commander-in-Chief Trophy to the 2024 Navy Midshipmen Football Team! 🇺🇸🏆""They're not just great football players... they're true American warriors."" - President Donald J. Trump",2025-04-15T22:19:06.060Z
114342597027882762,"🎥President Trump sits down with Rachel Campos-Duffy for an exclusive interview on tariffs, the border, and more.TODAY, at 4:00 PM EST on @FoxNews!",2025-04-15T15:06:08.907Z
114339287907952912,"The Ohio State University Buckeyes “showed the world that the road to greatness is paved by hard work, sweat, and often a great deal of adversity. It's a proud day for all of us, but it's a proud day for the Scarlet and Gray.” –President @realDonaldTrump 🇺🇸",2025-04-15T01:04:35.744Z
114339009116060848,"""I love the people of El Salvador and they have one hell of a President."" –President @realDonaldTrump 🇺🇸🇸🇻",2025-04-14T23:53:41.719Z
114338425889025998,"President Trump and Vice President Vance celebrate the 2024 College Football Playoffs National Champions, Ohio State! 🏈🇺🇸",2025-04-14T21:25:22.381Z
114337614500626708,President Donald J. Trump 🤝🏻 President Nayib Bukele 🇺🇸🇸🇻,2025-04-14T17:59:01.576Z
114337153369607628,President @realDonaldTrump Welcomes Salvadoran President Nayib Bukele to the White House 🇺🇸🇸🇻,2025-04-14T16:01:45.275Z
114333344307437413,"✝️""This Holy Week, Melania and I join in prayer with Christians celebrating the crucifixion and resurrection of our Lord and Savior, Jesus Christ—the living Son of God who conquered death, freed us from sin, and unlocked the gates of Heaven for all of humanity."" –President Trump",2025-04-13T23:53:03.599Z
114332922241781852,UFC 314 TURNED PRESIDENTIAL 🇺🇸 @DanaWhite,2025-04-13T22:05:43.388Z
114331282906429815,"📰 NEW FROM @FOXNEWS: ""The White House is gearing up for an 'extraordinary' celebration for Holy Week ahead of Easter, with President @realDonaldTrump participating in a number of events to celebrate and honor the holiday 'with the observance it deserves.'""",2025-04-13T15:08:49.115Z
114327412368866177,"""To all the Jewish families gathering with friends and loved ones this week, have a blessed Passover, and may God continue to watch over the Jewish people, the State of Israel, and the United States of America."" –President @realDonaldTrump",2025-04-12T22:44:29.398Z
114326453894934530,"""Very exciting for America, and the World!!!"" 🇺🇸🌎",2025-04-12T18:40:44.247Z
114321396321628913,"BREAKING NEWS: ""Mahmoud Khalil can be deported, judge rules""",2025-04-11T21:14:31.804Z
114320903515164559,Some new artwork at the White House 👀,2025-04-11T19:09:12.173Z
