Politifact URL,Author,Statement,X Post URL
https://www.politifact.com/factchecks/2024/dec/10/tweets/how-much-temporary-housing-has-fema-provided-to-nc/,X posts,FEMA delivered “only four” temporary housing units to Helene victims in North Carolina as of Nov. 20.,https://x.com/matt_vanswol/status/1859366189585063995
https://www.politifact.com/factchecks/2024/dec/10/tweets/how-much-temporary-housing-has-fema-provided-to-nc/,X posts,FEMA delivered “only four” temporary housing units to Helene victims in North Carolina as of Nov. 20.,https://x.com/matt_vanswol/status/1859366189585063995
https://www.politifact.com/factchecks/2024/dec/02/tweets/no-trumps-fbi-director-pick-kash-patel-didnt-call/,X posts,Kash Patel posted on X that “the FBI is gay.”,https://x.com/kash_patel
https://www.politifact.com/factchecks/2024/dec/02/tweets/no-trumps-fbi-director-pick-kash-patel-didnt-call/,X posts,Kash Patel posted on X that “the FBI is gay.”,https://x.com/MostlyPeacefull/status/1863312862837440545
https://www.politifact.com/factchecks/2024/dec/02/tweets/no-trumps-fbi-director-pick-kash-patel-didnt-call/,X posts,Kash Patel posted on X that “the FBI is gay.”,https://x.com/kash_patel
https://www.politifact.com/factchecks/2024/nov/18/tweets/no-evidence-of-officials-threatening-keep-children/,X posts,"“Red Cross is set to close shelters across North Carolina on Nov. 15. Families staying in these shelters are being told: ‘If you don’t have a safe place to take your children, you won’t be leaving with them.’”",https://x.com/DisrespectedThe/status/1856273879720767764
https://www.politifact.com/factchecks/2024/nov/18/tweets/no-evidence-of-officials-threatening-keep-children/,X posts,"“Red Cross is set to close shelters across North Carolina on Nov. 15. Families staying in these shelters are being told: ‘If you don’t have a safe place to take your children, you won’t be leaving with them.’”",https://x.com/WallStreetApes/status/1851271713675153606
https://www.politifact.com/factchecks/2024/nov/18/tweets/no-evidence-of-officials-threatening-keep-children/,X posts,"“Red Cross is set to close shelters across North Carolina on Nov. 15. Families staying in these shelters are being told: ‘If you don’t have a safe place to take your children, you won’t be leaving with them.’”",https://x.com/DisrespectedThe/status/1856273879720767764
https://www.politifact.com/factchecks/2024/nov/07/tweets/video-showing-trump-voter-assaulted-in-wisconsin-l/,X posts,“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,https://x.com/jamiemcintyre21/status/1853964819017126092
https://www.politifact.com/factchecks/2024/nov/07/tweets/video-showing-trump-voter-assaulted-in-wisconsin-l/,X posts,“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,https://x.com/darrenlinvill/status/1853940219419951222
https://www.politifact.com/factchecks/2024/nov/07/tweets/video-showing-trump-voter-assaulted-in-wisconsin-l/,X posts,“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,https://x.com/StoptheRot7/status/1853927705294852276
https://www.politifact.com/factchecks/2024/nov/07/tweets/video-showing-trump-voter-assaulted-in-wisconsin-l/,X posts,“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,https://x.com/AlertChannel
https://www.politifact.com/factchecks/2024/nov/07/tweets/video-showing-trump-voter-assaulted-in-wisconsin-l/,X posts,“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,https://x.com/izzaag
https://www.politifact.com/factchecks/2024/nov/07/tweets/video-showing-trump-voter-assaulted-in-wisconsin-l/,X posts,“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,https://x.com/jamiemcintyre21/status/1853964819017126092
https://www.politifact.com/factchecks/2024/nov/07/tweets/video-showing-trump-voter-assaulted-in-wisconsin-l/,X posts,“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,https://x.com/StoptheRot7/status/1853927705294852276
https://www.politifact.com/factchecks/2024/nov/07/tweets/video-showing-trump-voter-assaulted-in-wisconsin-l/,X posts,“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,https://x.com/darrenlinvill/status/1853940219419951222
https://www.politifact.com/factchecks/2024/nov/07/tweets/video-showing-trump-voter-assaulted-in-wisconsin-l/,X posts,“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,https://x.com/DarrenLinvill/status/1853940566632845332
https://www.politifact.com/factchecks/2024/nov/06/tweets/vehicles-seen-in-msnbc-live-report-from-philadelph/,X posts,"Vans filled with 50,000 ballots show up in Philadelphia during live MSNBC report.",https://x.com/TPV_John/status/1854036593444634727
https://www.politifact.com/factchecks/2024/nov/06/tweets/vehicles-seen-in-msnbc-live-report-from-philadelph/,X posts,"Vans filled with 50,000 ballots show up in Philadelphia during live MSNBC report.",https://x.com/TPV_John/status/1854038237435560084
https://www.politifact.com/factchecks/2024/nov/06/tweets/vehicles-seen-in-msnbc-live-report-from-philadelph/,X posts,"Vans filled with 50,000 ballots show up in Philadelphia during live MSNBC report.",https://x.com/PKikos/status/1854038733131231686
https://www.politifact.com/factchecks/2024/nov/06/tweets/vehicles-seen-in-msnbc-live-report-from-philadelph/,X posts,"Vans filled with 50,000 ballots show up in Philadelphia during live MSNBC report.",https://x.com/WallStreetApes/status/1854043565015617601
